Municipality,Canton,Population,Area
Collonge-Bellerive,GE,8126,6.15
Collonges,VS,780,12.22
Cologny,GE,5531,3.68
Comano,TI,2032,2.04
Commugny,VD,2848,6.53
Concise,VD,970,11.38
Confignon,GE,4618,2.76
Conters_im_Prättigau,GR,225,18.4
Conthey,VS,8691,85.01
Coppet,VD,3152,1.85
Corbeyrier,VD,437,22.03
Corbières,FR,877,9.69
Corcelles_BE,BE,201,6.79
Corcelles-Cormondrèche,NE,4740,4.84
Corcelles-le-Jorat,VD,458,7.94
Corcelles-près-Concise,VD,377,4.06
Corcelles-près-Payerne,VD,2443,12.14
Corgémont,BE,1668,17.65
Corippo,TI,12,7.7
Corminboeuf,FR,2563,7.24
Cormoret,BE,486,13.52
Cornaux,NE,1586,4.71
Cornol,JU,1018,10.47
Corseaux,VD,2278,1.07
Corserey,FR,422,3.41
Corsier_GE,GE,2071,2.8
Corsier-sur-Vevey,VD,3401,6.73
Cortaillod,NE,4774,3.65
Cortébert,BE,705,14.82
Cossonay,VD,3813,8.23
Cottens_FR,FR,1497,4.98
Cottens_VD,VD,478,2.42
Courchapoix,JU,430,6.43
Courchavon,JU,293,6.24
Courgenay,JU,2302,18.44
Courgevaux,FR,1424,3.38
Courrendlin,JU,3448,21.53
Courroux,JU,3265,19.75
Court,BE,1427,24.56
Courtedoux,JU,782,8.14
Courtelary,BE,1391,22.11
Courtepin,FR,5416,17.8
Courtételle,JU,2582,13.57
Crans-Montana,VS,10565,59.59
Crans-près-Céligny,VD,2182,4.3
Crassier,VD,1153,2.02
Crémines,BE,519,9.46
Cressier_FR,FR,957,4.18
Cressier_NE,NE,1873,8.61
Crésuz,FR,342,1.8
Crissier,VD,8037,5.5
Croglio,TI,854,4.41
Cronay,VD,380,6.58
Croy,VD,379,4.5
Cuarnens,VD,479,7.06
Cuarny,VD,240,4.62
Cudrefin,VD,1589,15.58
Cugnasco-Gerra,TI,2877,35.77
Cugy_FR,FR,1729,9.9
Cugy_VD,VD,2735,2.9
Cureglia,TI,1387,1.1
Curio,TI,544,2.77
Curtilles,VD,318,4.97
Dachsen,ZH,1936,2.65
Dägerlen,ZH,1015,7.96
Dagmersellen,LU,5369,23.9
Daillens,VD,999,5.49
Dallenwil,NW,1814,15.52
Dällikon,ZH,4118,4.49
Dalpe,TI,186,14.52
Damphreux,JU,184,5.66
Däniken,SO,2784,5.46
Dänikon,ZH,1879,2.81
Dardagny,GE,1861,8.6
Därligen,BE,429,6.92
Därstetten,BE,862,32.85
Dättlikon,ZH,782,2.91
Davos,GR,10937,283.99
Degersheim,SG,4038,14.45
Deisswil_bei_Münchenbuchsee,BE,74,2.14
Deitingen,SO,2237,7.55
Delémont,JU,12625,22.01
Delley-Portalban,FR,1107,6.85
Démoret,VD,146,4.29
Denens,VD,774,3.29
Denges,VD,1617,1.69
Densbüren,AG,733,12.64
Derendingen,SO,6430,5.68
Develier,JU,1385,12.42
Diegten,BL,1656,9.61
Dielsdorf,ZH,5966,5.88
Diemerswil,BE,202,2.82
Diemtigen,BE,2200,130
Diepflingen,BL,738,1.43
Diepoldsau,SG,6502,11.19
Dierikon,LU,1503,2.77
Diessbach_bei_Büren,BE,990,6.31
Diessenhofen,TG,3745,10
Dietikon,ZH,27079,9.28
Dietlikon,ZH,7702,4.24
Dietwil,AG,1337,5.55
Dinhard,ZH,1557,7.07
Dintikon,AG,2235,3.72
Disentis/Mustér,GR,2092,91.05
Dittingen,BL,730,6.73
Dizy,VD,229,3.07
Domat/Ems,GR,8070,24.24
Domleschg,GR,1991,45.96
Dompierre_VD,VD,259,3.25
Donat,GR,211,4.66
Donneloye,VD,809,8.97
Doppleschwand,LU,786,6.95
Dorénaz,VS,930,12.54
Dorf,ZH,687,5.54
Dörflingen,SH,1027,5.78
Dornach,SO,6686,5.74
Dottikon,AG,3880,3.91
Döttingen,AG,4054,6.96
Dotzigen,BE,1492,4.23
Dozwil,TG,727,1.27
Drei_Höfe,SO,734,4.57
Dübendorf,ZH,28141,13.62
Düdingen,FR,7823,30.76
Duggingen,BL,1568,5.91
Duillier,VD,1080,4.05
Dulliken,SO,4964,6.01
Dully,VD,639,1.64
Dürnten,ZH,7570,10.21
Dürrenäsch,AG,1252,5.9
Dürrenroth,BE,1062,14.06
Ebersecken,LU,386,8.59
Ebikon,LU,13531,9.72
Ebnat-Kappel,SG,5012,43.51
Echallens,VD,5732,6.69
Echandens,VD,2762,3.87
Echarlens,FR,804,4.62
Echichens,VD,2706,13.27
Eclépens,VD,1093,5.82
Ecublens_FR,FR,344,4.86
Ecublens_VD,VD,12488,5.73
Ederswiler,JU,120,3.34
Effingen,AG,594,6.84
Egerkingen,SO,3520,6.93
Egg,ZH,8452,14.51
Eggenwil,AG,1053,2.52
Eggerberg,VS,340,6.09
Eggersriet,SG,2275,8.91
Eggiwil,BE,2455,60.25
