Municipality,Canton,Population,Area
Saint-Cergue,VD,2547,24.26
Sainte-Croix,VD,4916,39.36
Saint-George,VD,1028,12.32
Saint-Gingolph,VS,963,14.46
Saint-Imier,BE,5156,20.8
Saint-Légier-La_Chiésaz,VD,5163,15.21
Saint-Léonard,VS,2316,3.88
Saint-Livres,VD,682,8.11
Saint-Martin_FR,FR,1007,9.76
Saint-Martin_VS,VS,829,36.94
Saint-Maurice,VS,4595,14.89
Saint-Oyens,VD,365,3.04
Saint-Prex,VD,5682,5.49
Saint-Saphorin_Lavaux,VD,395,0.87
Saint-Sulpice_VD,VD,4508,1.82
Salenstein,TG,1285,6.49
Sâles,FR,1423,18.81
Salgesch,VS,1511,11.4
Salmsach,TG,1451,2.64
Salvan,VS,1374,53.4
Samedan,GR,2956,113.96
Samnaun,GR,762,56.15
San_Vittore,GR,825,22.03
Santa_Maria_in_Calanca,GR,112,9.32
Sant'Antonino,TI,2513,6.56
Sargans,SG,6118,9.46
Sarmenstorf,AG,2904,8.27
Sarnen,OW,10236,73.15
Satigny,GE,4109,18.91
Sattel,SZ,1946,17.35
Saubraz,VD,423,3.69
Sauge,BE,816,13.46
Saulcy,JU,265,7.92
Saules_BE,BE,153,4.26
Savièse,VS,7594,70.99
Savigny,VD,3348,16.1
Savosa,TI,2230,0.75
Saxeten,BE,100,19.42
Saxon,VS,5774,23.22
Schaffhausen,SH,36332,41.94
Schafisheim,AG,2984,6.34
S-chanf,GR,685,138.02
Schangnau,BE,897,36.52
Schänis,SG,3812,39.88
Scharans,GR,807,14.29
Schattdorf,UR,5382,16.29
Schattenhalb,BE,560,31.55
Schelten,BE,34,5.54
Schenkon,LU,2862,6.77
Scheuren,BE,447,2.1
Schiers,GR,2613,61.72
Schinznach,AG,2249,12.23
Schinznach-Bad,AG,1354,1.88
Schlatt_TG,TG,1657,15.51
Schlatt_ZH,ZH,735,9.04
Schlatt-Haslen,AI,1126,17.89
Schleinikon,ZH,736,5.66
Schleitheim,SH,1688,21.53
Schlierbach,LU,878,7.22
Schlieren,ZH,18760,6.54
Schlossrued,AG,838,7.27
Schluein,GR,623,4.81
Schmerikon,SG,3724,4.09
Schmiedrued,AG,1168,8.6
Schmitten_FR,FR,4078,13.5
Schmitten_GR,GR,246,11.32
Schneisingen,AG,1463,8.3
Schnottwil,SO,1123,7.16
Schöfflisdorf,ZH,1405,3.95
Schöftland,AG,4405,6.21
Schönenbuch,BL,1385,1.33
Schönengrund,AR,518,5.2
Schönenwerd,SO,4902,3.74
Schongau,LU,1044,12.43
Schönholzerswilen,TG,839,10.96
Schötz,LU,4396,15.32
Schübelbach,SZ,9167,29.04
Schupfart,AG,803,7.03
Schüpfen,BE,3752,19.87
Schüpfheim,LU,4181,38.41
Schwaderloch,AG,673,2.79
Schwadernau,BE,673,4.09
Schwanden_bei_Brienz,BE,603,7.03
Schwarzenberg,LU,1690,39.26
Schwarzenburg,BE,6827,44.82
Schwarzhäusern,BE,517,3.77
Schwellbrunn,AR,1579,17.4
Schwende,AI,2202,57.48
Schwendibach,BE,249,1.53
Schwerzenbach,ZH,5093,2.64
Schwyz,SZ,15000,53.09
Scuol,GR,4598,438.76
Seeberg,BE,1545,16.85
Seedorf_BE,BE,3113,20.88
Seedorf_UR,UR,1804,15.48
Seegräben,ZH,1440,3.78
Seehof,BE,63,8.41
Seelisberg,UR,679,13.18
Seengen,AG,3994,9.62
Seewen,SO,1014,16.39
Seewis_im_Prättigau,GR,1381,49.6
Seftigen,BE,2191,3.92
Seltisberg,BL,1311,3.54
Selzach,SO,3453,19.46
Sembrancher,VS,1034,17.72
Sempach,LU,4128,8.94
Semsales,FR,1431,29.39
Senarclens,VD,505,3.95
Senèdes,FR,158,0.49
Sennwald,SG,5564,41.55
Seon,AG,5279,9.64
Sergey,VD,137,1.48
Serravalle,TI,2071,96.77
Servion,VD,1901,6.27
Sessa,TI,682,2.9
Seuzach,ZH,7312,7.6
Sévaz,FR,293,2.48
Sevelen,SG,5049,30.3
Sévery,VD,233,2.4
Siblingen,SH,863,9.37
Sierre,VS,16860,19.15
Siglistorf,AG,639,5.55
Signau,BE,2694,22.15
Signy-Avenex,VD,566,1.93
Sigriswil,BE,4788,55.34
Silenen,UR,1991,144.75
Sils_im_Domleschg,GR,930,9.3
Sils_im_Engadin/Segl,GR,691,63.55
Silvaplana,GR,1117,44.74
Simplon,VS,304,91.11
Sins,AG,4271,20.27
Sion,VS,34599,34.76
Sirnach,TG,7697,12.39
Siselen,BE,574,5.52
Sisikon,UR,364,16.44
Sissach,BL,6666,8.93
Sisseln,AG,1614,2.58
Siviriez,FR,2199,20.28
Soazza,GR,337,46.37
Solothurn,SO,16703,6.25
Sommeri,TG,549,4.21
Sonceboz-Sombeval,BE,1944,14.95
Sonogno,TI,88,37.55
Sonvilier,BE,1240,23.8
Soral,GE,822,2.93
Sorengo,TI,1779,0.85
Sorens,FR,1087,8.73
Sorvilier,BE,279,6.89
Soubey,JU,132,13.5
Soyhières,JU,448,7.53
Speicher,AR,4293,8.2
Spiez,BE,12707,16.73
Spiringen,UR,843,64.76
Spreitenbach,AG,11883,8.62
St._Antoni,FR,2039,16.82
St._Gallen,SG,75522,39.33
St._Margrethen,SG,5889,6.85
St._Moritz,GR,4994,28.69
St._Niklaus,VS,2227,89.3
St._Silvester,FR,973,7.02
St._Stephan,BE,1332,60.86
St._Ursen,FR,1332,15.68
Stabio,TI,4616,6.16
Stadel,ZH,2280,12.88
Stäfa,ZH,14435,8.61
Staffelbach,AG,1280,8.96
Stalden_VS,VS,1101,10.6
Staldenried,VS,543,14.23
Stallikon,ZH,3717,12.02
Stammheim,ZH,2746,23.93
Stans,NW,8411,11.08
Stansstad,NW,4494,9.1
Starrkirch-Wil,SO,1692,1.84
Staufen,AG,3337,3.53
Steckborn,TG,3740,8.77
Steffisburg,BE,15816,13.37
Steg-Hohtenn,VS,1569,14.03
Stein_AG,AG,3167,2.81
Stein_AR,AR,1423,9.33
Stein_am_Rhein,SH,3376,5.82
Steinach,SG,3591,4.5
Steinen,SZ,3355,11.83
Steinerberg,SZ,954,6.96
Steinhausen,ZG,9875,5.04
Steinmaur,ZH,3482,9.47
Stetten_AG,AG,2194,4.45
Stetten_SH,SH,1376,4.71
Stettfurt,TG,1201,6.31
Stettlen,BE,3105,3.49
Stocken-Höfen,BE,1004,14.24
Strengelbach,AG,4892,6.05
Studen_BE,BE,3278,2.76
Stüsslingen,SO,1065,6.13
Subingen,SO,3177,6.24
Suchy,VD,604,6.69
Sufers,GR,141,34.56
Suhr,AG,10403,10.61
Sulgen,TG,3703,9.06
Sullens,VD,1004,3.9
Sumiswald,BE,5044,59.38
Sumvitg,GR,1179,101.84
Surpierre,FR,715,8.3
Sursee,LU,9900,5.85
Surses,GR,2343,323.75
Suscévaz,VD,200,4.15
Sutz-Lattrigen,BE,1382,3.56
Syens,VD,149,2.53
Tafers,FR,3354,8.42
Tägerig,AG,1518,3.28
Tägerwilen,TG,4510,11.57
Tamins,GR,1213,40.71
Tannay,VD,1595,1.78
Tartegnin,VD,235,1.09
Täsch,VS,1295,58.72
Täuffelen,BE,2821,4.34
Tavannes,BE,3626,14.8
Tecknau,BL,858,2.38
Tegerfelden,AG,1189,7.07
Tenero-Contra,TI,3108,3.7
Tenniken,BL,916,4.69
Tentlingen,FR,1342,3.66
Termen,VS,913,18.65
Terre_di_Pedemonte,TI,2598,11.55
Teufen_AR,AR,6267,15.29
Teufenthal_AG,AG,1674,3.55
Teuffenthal_BE,BE,165,4.57
Tévenon,VD,844,14.31
Thal,SG,6480,9.64
Thalheim_AG,AG,831,9.89
Thalheim_an_der_Thur,ZH,929,6.45
Thalwil,ZH,17857,5.51
Thayngen,SH,5445,19.96
Therwil,BL,9947,7.66
Thierachern,BE,2401,7.53
Thônex,GE,14091,3.84
Thörigen,BE,1127,4.56
Thun,BE,43743,21.56
Thundorf,TG,1459,15.6
Thunstetten,BE,3320,9.68
Thürnen,BL,1403,2.29
Thusis,GR,3199,16.77
Titterten,BL,414,3.68
Tobel-Tägerschen,TG,1594,7.11
Toffen,BE,2557,4.86
Tolochenaz,VD,1879,1.58
Törbel,VS,470,17.57
Torny,FR,933,10.23
Torricella-Taverne,TI,3053,5.29
Trachselwald,BE,961,15.99
Tramelan,BE,4595,24.79
Trasadingen,SH,591,4.12
Treiten,BE,420,4.71
Trélex,VD,1402,5.85
Trey,VD,270,3.77
Treycovagnes,VD,451,2.07
Treytorrens_Payerne,VD,122,3.11
Treyvaux,FR,1448,11.38
Triengen,LU,4652,22.08
Trient,VS,183,39.6
Trimbach,SO,6591,7.64
Trimmis,GR,3283,42.88
Trin,GR,1408,47.24
Trogen,AR,1721,10.02
Troinex,GE,2412,3.45
Troistorrents,VS,4602,36.92
Trub,BE,1353,62.01
Trubschachen,BE,1444,15.69
Trüllikon,ZH,1059,9.56
Trun,GR,1172,51.88
Truttikon,ZH,478,4.4
Tschappina,GR,129,24.67
Tschiertschen-Praden,GR,318,27.8
Tschugg,BE,446,3.31
Tübach,SG,1429,1.98
Tuggen,SZ,3317,13.54
Tujetsch,GR,1256,133.92
Turbenthal,ZH,4761,25.26
Turgi,AG,3010,1.52
Turtmann-Unterems,VS,1106,42.48
Twann-Tüscherz,BE,1134,12.31
Udligenswil,LU,2279,6.24
Ueberstorf,FR,2371,16.12
Uebeschi,BE,685,4.42
Ueken,AG,903,5.11
Uerkheim,AG,1337,7.11
Uesslingen-Buch,TG,1075,14.01
Uetendorf,BE,5950,10.17
Uetikon_am_See,ZH,6161,3.51
Uezwil,AG,484,2.47
Ufhusen,LU,903,12.19
Uitikon,ZH,4245,4.39
Ulmiz,FR,438,2.87
Unterägeri,ZG,8689,25.65
Unterbäch,VS,421,22.13
Untereggen,SG,1055,7.07
Unterengstringen,ZH,3804,3.36
Unterentfelden,AG,4070,2.88
Unteriberg,SZ,2413,46.49
Unterkulm,AG,3080,8.9
Unterlangenegg,BE,987,6.82
Unterlunkhofen,AG,1415,4.48
Unterramsern,SO,211,1.54
Unterschächen,UR,714,80.22
Unterseen,BE,5712,13.97
Untersiggenthal,AG,7193,8.27
Untervaz,GR,2512,27.69
Urdorf,ZH,9783,7.58
Urmein,GR,146,4.34
Urnäsch,AR,2315,48.13
Ursenbach,BE,905,9.16
Ursins,VD,218,3.38
Ursy,FR,3079,14.84
Urtenen-Schönbühl,BE,6222,7.16
Uster,ZH,34516,28.49
Uttigen,BE,2070,3.78
Uttwil,TG,1855,4.37
Utzenstorf,BE,4295,17
Uznach,SG,6336,7.57
Uzwil,SG,12849,14.5
Vacallo,TI,3383,1.64
Val_Müstair,GR,1511,198.6
Val_Terbi,JU,3179,46.73
Valangin,NE,504,3.75
Valbirse,BE,4017,18.73
Valbroye,VD,3025,33.52
Val-de-Charmey,FR,2477,112.09
Val-de-Ruz,NE,16907,124.38
Val-de-Travers,NE,10745,124.61
Val-d'Illiez,VS,1888,39.25
Valeyres-sous-Montagny,VD,705,2.25
Valeyres-sous-Rances,VD,629,6.36
Valeyres-sous-Ursins,VD,239,2.85
Vallon,FR,436,3.5
Vallorbe,VD,3851,23.16
Vals,GR,1050,175.5
Valsot,GR,859,159.1
Vandoeuvres,GE,2504,4.43
Varen,VS,625,12.77
Vaulion,VD,485,13.18
Vaulruz,FR,1060,10.05
Vaux-sur-Morges,VD,199,2.1
Vaz/Obervaz,GR,2721,42.5
Vechigen,BE,5242,24.87
Veltheim_AG,AG,1465,5.2
Vendlincourt,JU,557,9.15
Venthône,VS,1264,2.52
Vernate,TI,583,1.52
Vernayaz,VS,1886,5.64
Vernier,GE,35132,7.68
Vérossaz,VS,748,14.35
Versoix,GE,13329,10.52
Vétroz,VS,6268,10.43
Vevey,VD,19827,2.37
Vex,VS,1820,13.07
Veyras,VS,1832,1.42
Veyrier,GE,11540,6.52
Veysonnaz,VS,613,1.17
Veytaux,VD,868,6.78
Vezia,TI,1947,1.38
Vich,VD,1022,1.52
Vico_Morcote,TI,382,1.95
Villarsel-sur-Marly,FR,85,1.41
Villars-Epeney,VD,106,0.87
Villars-le-Comte,VD,142,4.18
Villars-le-Terroir,VD,1151,7.14
Villars-Sainte-Croix,VD,934,1.65
Villars-sous-Yens,VD,614,3.07
Villars-sur-Glâne,FR,12114,5.45
Villarzel,VD,416,7.69
Villaz-Saint-Pierre,FR,1330,5.52
Villeneuve_VD,VD,5673,32.02
Villeret,BE,924,16.26
Villigen,AG,2130,11.21
Villmergen,AG,7309,11.98
Villnachern,AG,1634,5.68
Villorsonnens,FR,1384,15.51
Vilters-Wangs,SG,4820,32.72
Vinelz,BE,860,4.6
Vinzel,VD,370,1.09
Vionnaz,VS,2646,20.95
Visp,VS,7891,13.19
Visperterminen,VS,1351,51.6
Vitznau,LU,1381,8.93
Vogorno,TI,279,23.96
Volken,ZH,342,3.28
Volketswil,ZH,18693,14.01
Vollèges,VS,2001,17.79
Vordemwald,AG,1954,10.12
Vorderthal,SZ,1025,27.95
Vouvry,VS,4138,33.47
Vuadens,FR,2317,10.44
Vuarrens,VD,1003,8.95
Vucherens,VD,582,3.27
Vufflens-la-Ville,VD,1284,5.4
Vufflens-le-Château,VD,884,2.15
Vugelles-La_Mothe,VD,122,3.09
Vuisternens-devant-Romont,FR,2287,24.03
Vuiteboeuf,VD,584,5.09
Vulliens,VD,516,6.68
Vullierens,VD,499,6.82
Vully-les-Lacs,VD,3086,20.9
Wachseldorn,BE,234,3.54
Wädenswil,ZH,24536,35.64
Wagenhausen,TG,1654,11.82
Wahlen,BL,1417,5.42
Walchwil,ZG,3617,13.5
Wald_AR,AR,857,6.84
Wald_BE,BE,1171,13.3
Wald_ZH,ZH,9815,25.28
Waldenburg,BL,1125,8.27
Wäldi,TG,1050,12.19
Waldkirch,SG,3498,31.35
Waldstatt,AR,1846,6.69
Walenstadt,SG,5598,45.68
Walkringen,BE,1782,17.2
Wallbach,AG,1950,4.48
Wallisellen,ZH,15939,6.45
Walliswil_bei_Niederbipp,BE,221,1.47
Walliswil_bei_Wangen,BE,601,3.07
Walperswil,BE,1008,7
Waltenschwil,AG,2925,4.55
Walterswil_BE,BE,554,7.93
Walterswil_SO,SO,701,4.49
Walzenhausen,AR,1994,7.03
Wangen_SZ,SZ,5011,8.43
Wangen_an_der_Aare,BE,2301,5.23
Wangen_bei_Olten,SO,5096,6.97
Wangen-Brüttisellen,ZH,7883,7.9
Wangenried,BE,431,2.89
Wängi,TG,4614,16.45
Wartau,SG,5296,41.75
Warth-Weiningen,TG,1252,8.22
Wassen,UR,422,96.91
Wasterkingen,ZH,574,3.94
Wattenwil,BE,2895,14.46
Wattwil,SG,8713,51.18
Wauwil,LU,2177,2.94
Weesen,SG,1646,5.42
Wegenstetten,AG,1070,7.06
Weggis,LU,4404,11.79
Weiach,ZH,1756,9.59
Weinfelden,TG,11241,15.5
Weiningen_ZH,ZH,4775,5.41
Weisslingen,ZH,3303,12.77
Welschenrohr,SO,1089,12.97
Wengi,BE,617,7.06
Wenslingen,BL,717,5.88
Werthenstein,LU,2115,15.74
Wettingen,AG,20847,10.64
Wettswil_am_Albis,ZH,5112,3.75
Wetzikon_ZH,ZH,24513,16.73
Wichtrach,BE,4318,11.61
Widen,AG,3693,2.6
Widnau,SG,9576,4.22
Wiedlisbach,BE,2317,7.5
Wiesendangen,ZH,6380,19.13
Wiggiswil,BE,102,1.46
Wigoltingen,TG,2410,17.18
Wikon,LU,1525,8.29
Wil_SG,SG,23768,20.82
Wil_ZH,ZH,1407,8.97
Wila,ZH,1975,9.23
Wilchingen,SH,1737,21.15
Wildberg,ZH,1000,10.51
Wilderswil,BE,2672,13.16
Wildhaus-Alt_St._Johann,SG,2662,87.48
Wilen_TG,TG,2482,2.25
Wiler_Lötschen,VS,571,14.88
Wiler_bei_Utzenstorf,BE,910,3.78
Wileroltigen,BE,357,4.13
Wiliberg,AG,166,1.2
Willadingen,BE,207,2.2
Willisau,LU,7825,41.17
Wimmis,BE,2446,22.34
Windisch,AG,7655,4.91
Winkel,ZH,4540,8.09
Wintersingen,BL,606,6.98
Winterthur,ZH,110912,68.12
Winznau,SO,1857,3.97
Wisen_SO,SO,403,4.81
Wislikofen,AG,341,3.69
Wittenbach,SG,9784,12.2
Witterswil,SO,1497,2.64
Wittinsburg,BL,434,3.19
Wittnau,AG,1304,11.24
Wohlen,AG,16407,12.45
Wohlen_bei_Bern,BE,9215,36.25
Wohlenschwil,AG,1556,4.42
Wolfenschiessen,NW,2093,92.64
Wolfhalden,AR,1836,6.97
Wolfisberg,BE,179,2.47
Wölflinswil,AG,1045,9.51
Wolfwil,SO,2200,6.88
Wolhusen,LU,4375,14.26
Wollerau,SZ,7101,6.37
Worb,BE,11394,21.06
Worben,BE,2266,2.7
Wünnewil-Flamatt,FR,5558,13.26
Wuppenau,TG,1133,12.07
Würenlingen,AG,4699,9.39
Würenlos,AG,6486,9
Wynau,BE,1630,5.12
Wynigen,BE,2043,28.29
Wyssachen,BE,1161,11.73
Yens,VD,1386,9.53
Yverdon-les-Bains,VD,30143,13.52
Yvonand,VD,3349,13.3
Yvorne,VD,1051,12.18
Zäziwil,BE,1628,5.42
Zeglingen,BL,489,7.91
Zeihen,AG,1170,6.89
Zeiningen,AG,2311,11.35
Zell_LU,LU,2004,13.89
Zell_ZH,ZH,5939,12.98
Zeneggen,VS,282,7.56
Zermatt,VS,5643,242.93
Zernez,GR,1532,344.02
Zetzwil,AG,1300,5.77
Ziefen,BL,1569,7.82
Zielebach,BE,323,1.91
Zihlschlacht-Sitterdorf,TG,2267,12.17
Zillis-Reischen,GR,388,24.46
Zizers,GR,3443,10.96
Zofingen,AG,11636,11.07
Zollikofen,BE,10314,5.42
Zollikon,ZH,12983,7.85
Zuchwil,SO,8875,4.66
Zufikon,AG,4481,4.81
Zug,ZG,30205,21.72
Zullwil,SO,676,3.65
Zumikon,ZH,5142,5.47
Zunzgen,BL,2502,6.86
Zuoz,GR,1207,65.63
Zürich,ZH,409241,87.91
Zuzgen,AG,860,8.35
Zuzwil_BE,BE,572,3.46
Zuzwil_SG,SG,4790,8.97
Zweisimmen,BE,3030,73.14
Zwieselberg,BE,324,2.43
Zwingen,BL,2339,4.6
Zwischbergen,VS,77,85.94
